50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.645908,,,,,,,,,,,,,047d50bf-37e4-4373-92b9-a47e0ace5ae8,5,,,"[60.0, 40.0]",3942226,0,,,,-1.6614562,,Left Foot,,,,"[59.7, 36.7]",,Ground Pass,,3.3136084,,,,Toni Kroos,5574.0,,,,,Kick Off,1,From Kick Off,Kai Havertz,8966.0,Center Forward,2,Germany,770,['ac29cadb-e89c-4c4e-aa02-20f02c4c7b9b'],1,,,,,,,,,,,,,,,,,Germany,770,00:00:01.291,Pass,
,,,,,,,,,,,,,,,,,,2.104005,,,,,,,,,,,,,7fd48495-bfec-46c8-ae6a-5aa9d0889ba8,8,,,"[54.2, 40.1]",3942226,0,,,,-0.25405753,,Right Foot,,,,"[90.4, 30.7]",,High Pass,,37.400536,,Incomplete,,Kai Havertz,8966.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,"['067984ca-0d91-4d8b-97e9-6763ae79268f', 'fc3493ec-b7bd-41f8-9c3b-479c50202171']",3,,,,,,,,,,,,,,,,,Germany,770,00:00:03.572,Pass,
,,,,,,,,,,,,,,,,,,0.483888,,,,,,,,,,,,,fc3493ec-b7bd-41f8-9c3b-479c50202171,10,,,"[29.7, 49.4]",3942226,0,,,,-0.20632389,,Head,,,,"[38.3, 47.6]",,Low Pass,,8.786353,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Robin Aime Robert Le Normand,22128.0,Right Center Back,2,Germany,770,"['7fd48495-bfec-46c8-ae6a-5aa9d0889ba8', '970f649a-9e12-47eb-9cee-eff4bfd01366']",5,,,,,,,,,,,,,,,,,Spain,772,00:00:05.676,Pass,
,,,,,,,,,,,,,,,,,,1.810444,,,,,,,,,,,,,57ab41aa-692a-4def-b1b2-dc6815718d0a,14,,,"[82.1, 34.1]",3942226,0,,,,0.7303358,,Right Foot,,,,"[88.8, 40.1]",,High Pass,,8.993887,,Incomplete,,Leroy Sané,3053.0,,,,,,1,From Kick Off,Jamal Musiala,39565.0,Left Wing,2,Germany,770,"['127512fd-b7ff-4c8e-bf8d-7f1d3d1255b0', 'b89bf267-a9c8-4848-93f0-feef4d2daac4']",7,,,,,,,,,,,,,,,,,Germany,770,00:00:07.404,Pass,
,,,,,,,,,,,,,,,,,,2.357663,,,,,,,,,,,,,127512fd-b7ff-4c8e-bf8d-7f1d3d1255b0,17,,,"[31.3, 40.0]",3942226,0,,,True,0.70774484,,,,,,"[50.0, 56.0]",,High Pass,,24.61077,,Incomplete,,Lamine Yamal Nasraoui Ebana,316046.0,,,,,Recovery,1,From Kick Off,Marc Cucurella Saseta,17620.0,Left Back,2,Germany,770,"['57ab41aa-692a-4def-b1b2-dc6815718d0a', '5c45a5af-2aac-4a4c-bc41-0d3946930fff', '93030722-293d-4682-bbf9-732e7e37269a', '9a7508fa-8827-400e-8a2c-b08317ccd48b']",9,,,,,,,,,,,,,,,,,Spain,772,00:00:09.214,Pass,True
,,,,,,,,,,,,,,,,,,1.085946,,,,,,,,,,,,,93030722-293d-4682-bbf9-732e7e37269a,19,,,"[70.1, 24.1]",3942226,0,,,,2.5686264,,Head,,,,"[57.7, 32.1]",,High Pass,,14.756694,,,,Jonathan Tah,8221.0,,,,,Recovery,1,From Kick Off,David Raum,12034.0,Left Back,2,Germany,770,"['127512fd-b7ff-4c8e-bf8d-7f1d3d1255b0', '748de65c-7cd5-4caa-a6b4-0aa5e305118f']",11,,,,,,,,,,,,,,,,,Germany,770,00:00:11.572,Pass,
,,,,,,,,,,,,,,,,,,0.69564,,,,,,,,,,,,,63a80409-37d9-496d-8480-d81776a98186,23,,,"[56.7, 32.5]",3942226,0,,,,-0.75207716,,Left Foot,,,,"[62.9, 26.7]",,Ground Pass,,8.489994,,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Jonathan Tah,8221.0,Left Center Back,2,Germany,770,"['a45e623c-8c41-457c-bb6d-e29a722a1bdb', 'caf5ff90-d0e0-4495-944c-a92f3a6c9f05']",12,,,,,,,,,,,,,,,,,Germany,770,00:00:12.700,Pass,True
,,,,,,,,,,,,,,,,,,1.044298,,,,,,,,,,,,,a652e35b-56fb-40a0-b9ea-0dc194fbadbd,27,,,"[61.1, 26.5]",3942226,0,,,,1.5273454,,Right Foot,,,,"[61.7, 40.3]",,Ground Pass,,13.813037,,,,Emre Can,3493.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,"['4e500592-d911-4261-86e2-7e23a3e28f62', '578562cc-5467-4aaa-963d-328e79fc0674']",13,,,,,,,,,,,,,,,,,Germany,770,00:00:13.797,Pass,True
,,,,,,,,,,,,,,,,,,1.031456,,,,,,,,,,,,,b5e2af9b-f0c1-4d65-bc37-9da4819f2631,30,,,"[62.1, 40.4]",3942226,0,,,,2.9577932,,Right Foot,,,,"[46.5, 43.3]",,Ground Pass,,15.867262,,,,Antonio Rüdiger,3167.0,,,,,,1,From Kick Off,Emre Can,3493.0,Right Defensive Midfield,2,Germany,770,['86bcee08-aeb1-4a2e-8314-1f1c42ad55d1'],14,,,,,,,,,,,,,,,,,Germany,770,00:00:14.884,Pass,
,,,,,,,,,,,,,,,,,,3.223283,,,,,,,,,,,,,8e7d9256-a4ed-4a9d-b2f9-32c4eb77c885,33,,,"[46.5, 43.3]",3942226,0,,,,0.001745199,,Right Foot,,,,"[103.8, 43.4]",,High Pass,,57.300087,,Incomplete,,Kai Havertz,8966.0,,,,,,1,From Kick Off,Antonio Rüdiger,3167.0,Right Center Back,2,Germany,770,"['09ad28af-d0fa-4d17-bbf2-21b6b07a7488', '17b25229-5668-4849-a181-f84833b20fc2']",17,,,,,,,,,,,,,,,,,Germany,770,00:00:17.642,Pass,
,,,,,,,,,,,,,,,,,,1.371432,,,,,,,,,,,,,e7a3e36b-a7ae-4668-9c2a-ca0e205ec837,37,,,"[15.8, 37.6]",3942226,0,,,,-1.5059524,,Keeper Arm,,,,"[16.3, 29.9]",,Ground Pass,,7.7162166,,,,Aymeric Laporte,4353.0,,,,,,1,From Keeper,Unai Simón Mendibil,11748.0,Goalkeeper,3,Spain,772,['5e05d38b-d58d-4348-9b92-4a9e4ec65259'],23,,,,,,,,,,,,,,,,,Spain,772,00:00:23.272,Pass,
,,,,,,,,,,,,,,,,,,1.467143,,,,,,,,,,,,,432ec707-ac22-40d9-a420-176f165075ac,40,,,"[18.5, 26.9]",3942226,0,,,,-1.049444,,Right Foot,,,,"[29.7, 7.4]",,Ground Pass,,22.487553,,,,Marc Cucurella Saseta,17620.0,,,,,,1,From Keeper,Aymeric Laporte,4353.0,Left Center Back,3,Spain,772,['fb1cdd26-2a80-4662-9253-9170cde2b59e'],25,,,,,,,,,,,,,,,,,Spain,772,00:00:25.289,Pass,
,,,,,,,,,,,,,,,,,,1.458012,,,,,,,,,,,,,c507c5a0-fe1c-41e7-a3d1-3c95a226044c,44,,,"[28.1, 5.9]",3942226,0,,,,-0.13346118,,Left Foot,,,,"[49.7, 3.0]",,Ground Pass,,21.793806,,,,Nicholas Williams Arthuer,68574.0,,,,,,1,From Keeper,Marc Cucurella Saseta,17620.0,Left Back,3,Spain,772,"['5481a1be-d7be-45f0-906e-f79b86125dd7', 'e13e5e6a-c3f6-4754-ad53-a49bd228e856']",27,,,,,,,,,,,,,,,,,Spain,772,00:00:27.577,Pass,True
,,,,,,,,,,,,,,,,,,1.669105,,,,,,,,,,,,,c0b32be2-c4af-4867-8690-19f04226937b,47,,,"[58.8, 14.3]",3942226,0,,,,0.24618493,,Right Foot,,,,"[78.3, 19.2]",,Ground Pass,,20.106218,,,,Álvaro Borja Morata Martín,3477.0,,,,,,1,From Keeper,Nicholas Williams Arthuer,68574.0,Left Wing,3,Spain,772,['6bf5d054-2945-40f8-a2c9-5ca6437e9304'],32,,,,,,,,,,,,,,,,,Spain,772,00:00:32.395,Pass,
,,,,,,,,,,,,,,,,,,1.923903,,,,,,,,,,,,,430997cd-2175-4101-9bc4-7e6be74e042d,50,,,"[78.6, 19.4]",3942226,0,,,,2.0792856,,Right Foot,,,,"[75.2, 25.5]",,Ground Pass,,6.983552,,Incomplete,,Nicholas Williams Arthuer,68574.0,,,,,,1,From Keeper,Álvaro Borja Morata Martín,3477.0,Center Forward,3,Spain,772,"['0de3920e-404a-4b32-9a00-6dac71ef42ff', 'f552a950-8e23-4ca2-9290-7fe5b67098e6']",34,,,,,,,,,,,,,,,,,Spain,772,00:00:34.128,Pass,
,,,,,,,,,,,,,,,,,,1.733219,,,,,,,,,,,,,0de3920e-404a-4b32-9a00-6dac71ef42ff,53,,,"[44.9, 54.6]",3942226,0,,,,2.7314653,,Left Foot,,,,"[40.3, 56.6]",,Ground Pass,,5.0159745,,,,Antonio Rüdiger,3167.0,,,,,Recovery,1,Regular Play,Toni Kroos,5574.0,Left Defensive Midfield,4,Germany,770,"['430997cd-2175-4101-9bc4-7e6be74e042d', '5684072d-dc76-4cb0-9d78-aa18648cf90f']",36,,,,,,,,,,,,,,,,,Germany,770,00:00:36.052,Pass,
,,,,,,,,,,,,,,,,,,1.044441,,,,,,,,,,,,,4e1dee4b-0641-4011-bb8a-30513becffaf,57,,,"[41.1, 56.4]",3942226,0,,,,1.0343609,,Left Foot,,,,"[45.5, 63.8]",,Ground Pass,,8.609298,,,,Joshua Kimmich,5579.0,,,,,,1,Regular Play,Antonio Rüdiger,3167.0,Right Center Back,4,Germany,770,"['77e0c096-1a28-45a0-a54a-0498286f8d39', '96badbf0-8917-409d-b512-ceb6561f50d6']",37,,,,,,,,,,,,,,,,,Germany,770,00:00:37.855,Pass,True
,,,,,,,,,,,,,,,,,,1.189878,,,,,,,,,,,,,bcd6d296-a8a4-474b-bd43-99f7834b92b6,60,,,"[47.7, 71.0]",3942226,0,,,,0.5229388,,Right Foot,,,,"[56.2, 75.9]",,Ground Pass,,9.811218,,,,Emre Can,3493.0,,,,,,1,Regular Play,Joshua Kimmich,5579.0,Right Back,4,Germany,770,['c313662e-dd03-4f80-ba7d-74c9547308b9'],39,,,,,,,,,,,,,,,,,Germany,770,00:00:39.920,Pass,
